Name,Description,Latitude,Longitude,InfoURL ,ImageURL,,,,,,,,,,,,,
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,
_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg,,,,,,,,,,,,,
Isla Vista,Isla Vista is an unincorporated community and census-designated place in Santa Barbara County,34.415247,-119.862291,"https://en.wikipedia.org/wiki/Isla_Vista,_California",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/WelcomeToIslaVista.png/250px-WelcomeToIslaVista.png,,,,,,,,,,,,,
Santa Barbara Airport,Art-filled airport serving Southern California & offering free WiFi & many car rental options.,34.43009,-119.840442,https://en.wikipedia.org/wiki/Santa_Barbara_Municipal_Airport,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Santa_Barbara_Municipal_Airport_photo_D_Ramey_Logan.jpg/200px-Santa_Barbara_Municipal_Airport_photo_D_Ramey_Logan.jpg,,,,,,,,,,,,,
Arroyo Burro Beach County Park,This oceanfront beach with seasonal lifeguards & a grassy area for picnicking allows off-leash dogs.,34.41279,-119.743092,https://en.wikipedia.org/wiki/Arroyo_Burro_Beach,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Hendrys_Beach.JPG/300px-Hendrys_Beach.JPG,,,,,,,,,,,,,
Goleta Beach Park,"Public beach featuring paved bicycle trails, picnic areas & a 1,500-ft pier for walking & fishing.",34.41699,-119.833134,https://en.wikipedia.org/wiki/Goleta_Beach,https://www.countyofsb.org/uploadedImages/parks/Content/Day_Use_Parks/GoletaBeach.jpg,,,,,,,,,,,,,
Malibu," known for its celebrity homes and beaches, including wide and sandy Zuma Beach. ",34.02165,-118.814374,"https://en.wikipedia.org/wiki/Malibu,_California",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/MalibuAir.jpg/250px-MalibuAir.jpg,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
